year	genre	author	shorttitle
21	historical fiction	Buchan, J: 	 Path of the king
21	historical fiction	Williams, E. w. 	 Court of Belshazzar
21	historical fiction	Kryshanovskaya, V. I. 	 Torchrbearers of Bohemia
21	historical fiction	Phillpotts. E. 	 Eudocia
21	historical fiction	Wilson. M. 	 Forging of the pikes
21	historical fiction	Juta. R. 	 Cape Currey
21	historical fiction	Smith. A. D. H. 	 Spears of destiny
21	historical fiction	Barr A. E. 	 Orkney maid
21	historical fiction	Steel, F. A. 	 Marmaduke
21	historical fiction	Jacobsen. J. P.. 	 Marie Grubbe
21	historical fiction	Forbes. G: 	 Adventures in southern seas
21	historical fiction	Haggard. H: R. 	 Ancient Allan
21	historical fiction	Haggard. H: R. 	 Hoon of Israel
21	historical fiction	Pier, G. C. 	 Hanit, the enchantress
21	historical fiction	Bailey, H: C. 	 Highwayman
21	historical fiction	Barclay. F. L. 	 White ladies of Worcester.
21	historical fiction	Barr, A. E. 	 Paper cap
21	historical fiction	Childe, W. R. 	 Dream English
21	historical fiction	Hudson, w: H: 	 Dead Man's Plack, and An old thorn
21	historical fiction	Kuipu, J. 	  iucn-uog 01 ihe crown. sAp
21	historical fiction	Locke, G. E. 	 Ronald o' the moors
22	historical fiction	Smith, A. D. H. 	 Doom trail
22	historical fiction	Jenkins, 8. A. 	 The Bracegirdle
22	historical fiction	Johnston, M. 	 Silver cross
22	historical fiction	Aminolf, L. 	 Love
22	historical fiction	Orczy, E. 	 Castles in the air
22	historical fiction	Underwood, E. W. 	 The penitent
22	historical fiction	Bacheller, 1. A. 	 In the days of Poor Richard
22	historical fiction	Dye, E. 	 Conquest
22	historical fiction	Fairbank, J. 	 Cortlandts of Washington Square
22	historical fiction	Hough, E. 	 Covered wagon
22	historical fiction	Masters, E. L. 	 Children of the market place
22	mystery and detective fiction	Angellottl, M. P. 	 Three black bags
22	mystery and detective fiction	Benet, w: R. 	 First person singular
22	mystery and detective fiction	Binns, 0. 	 Lady of North Star
22	mystery and detective fiction	Boyle, C. N. 	 What became of Mr Desmond
22	mystery and detective fiction	Bridges, V: 	 Greensea Island
22	mystery and detective fiction	Cade, C. T. 	 Cornish penny
22	mystery and detective fiction	Carlyle, A. 	 Fugitive millionaire
22	mystery and detective fiction	Chesterton, G. K. 	 Man who knew too much
22	mystery and detective fiction	Christie, A. 	 Secret adversary
22	mystery and detective fiction	Cohen, 0. R 	 Midnight
22	mystery and detective fiction	Dawson, C. W: 	 Vanishing point
22	mystery and detective fiction	Dejeans, E. 	 Romance of a million dollars
22	mystery and detective fiction	Dutton, C: J. 	 Out of the darkness
22	mystery and detective fiction	Fletcher, J. S. 	 Middle of things
22	mystery and detective fiction	Fletcher. J. S. 	 Ravensdene court
22	mystery and detective fiction	Fletcher, J. S. 	 Rayner-Slade amalgamation
22	mystery and detective fiction	Fletcher, J. S. 	 Scarhaven Keep
22	mystery and detective fiction	Fox, 0: 	 Ethel opens the door
22	mystery and detective fiction	Gartland. H. 	 House of cards
22	mystery and detective fiction	Gaul. A. 	 Five nights at the Five Pines
22	mystery and detective fiction	Gull, C. A. E: R. 	 City in the clouds
22	mystery and detective fiction	Hansen, R. 	 Two dead men
22	mystery and detective fiction	Harvey. M. 	 Mystery of the hidden room
22	mystery and detective fiction	Hervey. A. 	 Caravans by night
22	mystery and detective fiction	Hext, H., pseud. 	 Number
22	mystery and detective fiction	Johnston. W: 	 Tragedy at the Beach clut
22	mystery and detective fiction	Jordan, E. G. 	 Blue circle
22	mystery and detective fiction	Kelland, C. B. 	 Conflict
22	mystery and detective fiction	Lauriston. V: 	 Twenty-first burr
22	mystery and detective fiction	Lee, J. 	 Mysterious office
22	mystery and detective fiction	Le Queux. W: T. 	 Golden face
22	mystery and detective fiction	Le Queux, W: T. 	 Secret telephone
22	mystery and detective fiction	Le Queux. W: T. 	 Stretton street affair
22	mystery and detective fiction	Lincoln, N. S. 	 Cat's paw
22	mystery and detective fiction	Lock, 6. E. 	 Red cavalier
22	mystery and detective fiction	Lowndes, M. A. 	 What Timmy did
22	mystery and detective fiction	MacGowan, A., and 	 Newberry, P. Milliondollar suitcase
22	mystery and detective fiction	Martin, A. 	 Kastlf; Krags
22	mystery and detective fiction	Milne. A. A. 	 Red House mystery
